Report generated on: 2025-11-12 12:44:51


USE CASE 10: All cities in country Japan
Hibernate: 
    /* SELECT
        c 
    FROM
        City c,
        Country co 
    WHERE
        c.countryCode = co.code 
        AND co.name = :country 
    ORDER BY
        c.population DESC */ select
            c1_0.`ID`,
            c1_0.`CountryCode`,
            c1_0.`District`,
            c1_0.`Name`,
            c1_0.`Population` 
        from
            city c1_0,
            country c2_0 
        where
            c1_0.`CountryCode`=c2_0.`Code` 
            and c2_0.`Name`=? 
        order by
            c1_0.`Population` desc
Name                           Country         District                  Population
Omiya                          JPN             Saitama                      441,649
Utsunomiya                     JPN             Tochigi                      440,353
Oita                           JPN             Oita                         433,401
Nagasaki                       JPN             Nagasaki                     432,759
Yokosuka                       JPN             Kanagawa                     430,200
Kurashiki                      JPN             Okayama                      425,103
Gifu                           JPN             Gifu                         408,007
Hirakata                       JPN             Osaka                        403,151
Nishinomiya                    JPN             Hyogo                        397,618
Toyonaka                       JPN             Osaka                        396,689
Wakayama                       JPN             Wakayama                     391,233
Fukuyama                       JPN             Hiroshima                    376,921
Fujisawa                       JPN             Kanagawa                     372,840
Asahikawa                      JPN             Hokkaido                     364,813
Machida                        JPN             Tokyo-to                     364,197
Nara                           JPN             Nara                         362,812
Takatsuki                      JPN             Osaka                        361,747
Iwaki                          JPN             Fukushima                    361,737
Nagano                         JPN             Nagano                       361,391
Toyohashi                      JPN             Aichi                        360,066
Toyota                         JPN             Aichi                        346,090
Suita                          JPN             Osaka                        345,750
Takamatsu                      JPN             Kagawa                       332,471
Koriyama                       JPN             Fukushima                    330,335
Okazaki                        JPN             Aichi                        328,711
Kawagoe                        JPN             Saitama                      327,211
Tokorozawa                     JPN             Saitama                      325,809
Toyama                         JPN             Toyama                       325,790
Kochi                          JPN             Kochi                        324,710
Kashiwa                        JPN             Chiba                        320,296
Akita                          JPN             Akita                        314,440
Miyazaki                       JPN             Miyazaki                     303,784
Koshigaya                      JPN             Saitama                      301,446
Naha                           JPN             Okinawa                      299,851
Aomori                         JPN             Aomori                       295,969
Hakodate                       JPN             Hokkaido                     294,788
Akashi                         JPN             Hyogo                        292,253
Yokkaichi                      JPN             Mie                          288,173
Fukushima                      JPN             Fukushima                    287,525
Morioka                        JPN             Iwate                        287,353
Maebashi                       JPN             Gumma                        284,473
Kasugai                        JPN             Aichi                        282,348
Otsu                           JPN             Shiga                        282,070
Ichihara                       JPN             Chiba                        279,280
Yao                            JPN             Osaka                        276,421
Ichinomiya                     JPN             Aichi                        270,828
Tokushima                      JPN             Tokushima                    269,649
Kakogawa                       JPN             Hyogo                        266,281
Ibaraki                        JPN             Osaka                        261,020
Neyagawa                       JPN             Osaka                        257,315
Shimonoseki                    JPN             Yamaguchi                    257,263
Yamagata                       JPN             Yamagata                     255,617
Fukui                          JPN             Fukui                        254,818
Hiratsuka                      JPN             Kanagawa                     254,207
Mito                           JPN             Ibaragi                      246,559
Sasebo                         JPN             Nagasaki                     244,240
Hachinohe                      JPN             Aomori                       242,979
Takasaki                       JPN             Gumma                        239,124
Shimizu                        JPN             Shizuoka                     239,123
Kurume                         JPN             Fukuoka                      235,611
Fuji                           JPN             Shizuoka                     231,527
Soka                           JPN             Saitama                      222,768
Fuchu                          JPN             Tokyo-to                     220,576
Chigasaki                      JPN             Kanagawa                     216,015
Atsugi                         JPN             Kanagawa                     212,407
Numazu                         JPN             Shizuoka                     211,382
Ageo                           JPN             Saitama                      209,442
Yamato                         JPN             Kanagawa                     208,234
Matsumoto                      JPN             Nagano                       206,801
Kure                           JPN             Hiroshima                    206,504
Takarazuka                     JPN             Hyogo                        205,993
Kasukabe                       JPN             Saitama                      201,838
Chofu                          JPN             Tokyo-to                     201,585
Odawara                        JPN             Kanagawa                     200,171
Kofu                           JPN             Yamanashi                    199,753
Kushiro                        JPN             Hokkaido                     197,608
Kishiwada                      JPN             Osaka                        197,276
Hitachi                        JPN             Ibaragi                      196,622
Nagaoka                        JPN             Niigata                      192,407
Itami                          JPN             Hyogo                        190,886
Uji                            JPN             Kyoto                        188,735
Suzuka                         JPN             Mie                          184,061
Hirosaki                       JPN             Aomori                       177,522
Ube                            JPN             Yamaguchi                    175,206
Kodaira                        JPN             Tokyo-to                     174,984
Takaoka                        JPN             Toyama                       174,380
Obihiro                        JPN             Hokkaido                     173,685
Tomakomai                      JPN             Hokkaido                     171,958
Saga                           JPN             Saga                         170,034
Sakura                         JPN             Chiba                        168,072
Kamakura                       JPN             Kanagawa                     167,661
Mitaka                         JPN             Tokyo-to                     167,268
Izumi                          JPN             Osaka                        166,979
Hino                           JPN             Tokyo-to                     166,770
Hadano                         JPN             Kanagawa                     166,512
Ashikaga                       JPN             Tochigi                      165,243
Tsu                            JPN             Mie                          164,543
Sayama                         JPN             Saitama                      162,472
Yachiyo                        JPN             Chiba                        161,222
Tsukuba                        JPN             Ibaragi                      160,768
Tachikawa                      JPN             Tokyo-to                     159,430
Kumagaya                       JPN             Saitama                      157,171
Moriguchi                      JPN             Osaka                        155,941
Otaru                          JPN             Hokkaido                     155,784
Anjo                           JPN             Aichi                        153,823
Narashino                      JPN             Chiba                        152,849
Oyama                          JPN             Tochigi                      152,820
Ogaki                          JPN             Gifu                         151,758
Matsue                         JPN             Shimane                      149,821
Kawanishi                      JPN             Hyogo                        149,794
Hitachinaka                    JPN             Tokyo-to                     148,006
Niiza                          JPN             Saitama                      147,744
Nagareyama                     JPN             Chiba                        147,738
Tottori                        JPN             Tottori                      147,523
Tama                           JPN             Ibaragi                      146,712
Iruma                          JPN             Saitama                      145,922
Ota                            JPN             Gumma                        145,317
Omuta                          JPN             Fukuoka                      142,889
Komaki                         JPN             Aichi                        139,827
Ome                            JPN             Tokyo-to                     139,216
Kadoma                         JPN             Osaka                        138,953
Yamaguchi                      JPN             Yamaguchi                    138,210
Higashimurayama                JPN             Tokyo-to                     136,970
Yonago                         JPN             Tottori                      136,461
Matsubara                      JPN             Osaka                        135,010
Musashino                      JPN             Tokyo-to                     134,426
Tsuchiura                      JPN             Ibaragi                      134,072
Joetsu                         JPN             Niigata                      133,505
Miyakonojo                     JPN             Miyazaki                     133,183
Misato                         JPN             Saitama                      132,957
Kakamigahara                   JPN             Gifu                         131,831
Daito                          JPN             Osaka                        130,594
Seto                           JPN             Aichi                        130,470
Kariya                         JPN             Aichi                        127,969
Urayasu                        JPN             Chiba                        127,550
Beppu                          JPN             Oita                         127,486
Niihama                        JPN             Ehime                        127,207
Minoo                          JPN             Osaka                        127,026
Fujieda                        JPN             Shizuoka                     126,897
Abiko                          JPN             Chiba                        126,670
Nobeoka                        JPN             Miyazaki                     125,547
Tondabayashi                   JPN             Osaka                        125,094
Ueda                           JPN             Nagano                       124,217
Kashihara                      JPN             Nara                         124,013
Matsusaka                      JPN             Mie                          123,582
Isesaki                        JPN             Gumma                        123,285
Zama                           JPN             Kanagawa                     122,046
Kisarazu                       JPN             Chiba                        121,967
Noda                           JPN             Chiba                        121,030
Ishinomaki                     JPN             Miyagi                       120,963
Fujinomiya                     JPN             Shizuoka                     119,714
Kawachinagano                  JPN             Osaka                        119,666
Imabari                        JPN             Ehime                        119,357
Aizuwakamatsu                  JPN             Fukushima                    119,287
Higashihiroshima               JPN             Hiroshima                    119,166
Habikino                       JPN             Osaka                        118,968
Ebetsu                         JPN             Hokkaido                     118,805
Hofu                           JPN             Yamaguchi                    118,751
Kiryu                          JPN             Gumma                        118,326
Okinawa                        JPN             Okinawa                      117,748
Yaizu                          JPN             Shizuoka                     117,258
Toyokawa                       JPN             Aichi                        115,781
Ebina                          JPN             Kanagawa                     115,571
Asaka                          JPN             Saitama                      114,815
Higashikurume                  JPN             Tokyo-to                     111,666
Ikoma                          JPN             Nara                         111,645
Kitami                         JPN             Hokkaido                     111,295
Koganei                        JPN             Tokyo-to                     110,969
Iwatsuki                       JPN             Saitama                      110,034
Mishima                        JPN             Shizuoka                     109,699
Handa                          JPN             Aichi                        108,600
Muroran                        JPN             Hokkaido                     108,275
Komatsu                        JPN             Ishikawa                     107,937
Yatsushiro                     JPN             Kumamoto                     107,661
Iida                           JPN             Nagano                       107,583
Tokuyama                       JPN             Yamaguchi                    107,078
Kokubunji                      JPN             Tokyo-to                     106,996
Akishima                       JPN             Tokyo-to                     106,914
Iwakuni                        JPN             Yamaguchi                    106,647
Kusatsu                        JPN             Shiga                        106,232
Kuwana                         JPN             Mie                          106,121
Sanda                          JPN             Hyogo                        105,643
Hikone                         JPN             Shiga                        105,508
Toda                           JPN             Saitama                      103,969
Tajimi                         JPN             Gifu                         103,171
Ikeda                          JPN             Osaka                        102,710
Fukaya                         JPN             Saitama                      102,156
Ise                            JPN             Mie                          101,732
Sakata                         JPN             Yamagata                     101,651
Kasuga                         JPN             Fukuoka                      101,344
Kamagaya                       JPN             Chiba                        100,821
Tsuruoka                       JPN             Yamagata                     100,713
Hoya                           JPN             Tokyo-to                     100,313
Nishio                         JPN             Chiba                        100,032
Tokai                          JPN             Aichi                         99,738
Inazawa                        JPN             Aichi                         98,746
Sakado                         JPN             Saitama                       98,221
Isehara                        JPN             Kanagawa                      98,123
Takasago                       JPN             Hyogo                         97,632
Fujimi                         JPN             Saitama                       96,972
Urasoe                         JPN             Okinawa                       96,002
Yonezawa                       JPN             Yamagata                      95,592
Konan                          JPN             Aichi                         95,521
Yamatokoriyama                 JPN             Nara                          95,165
Maizuru                        JPN             Kyoto                         94,784
Onomichi                       JPN             Hiroshima                     93,756
Higashimatsuyama               JPN             Saitama                       93,342
Kimitsu                        JPN             Chiba                         93,216
Isahaya                        JPN             Nagasaki                      93,058
Kanuma                         JPN             Tochigi                       93,053
Izumisano                      JPN             Osaka                         92,583
Kameoka                        JPN             Kyoto                         92,398
Mobara                         JPN             Chiba                         91,664
Narita                         JPN             Chiba                         91,470
Kashiwazaki                    JPN             Niigata                       91,229
Tsuyama                        JPN             Okayama                       91,170
