Report generated on: 2025-11-12 14:52:42


USE CASE 17: All capital cities in the world by population

=== ALL CAPITAL CITIES IN THE WORLD (BY POPULATION) ===
Hibernate: 
    /* SELECT
        new com.napier.devops.model.CapitalCity(city.name, country.name, city.population) 
    FROM
        Country country 
    JOIN
        City city 
            ON city.id = country.capital 
    ORDER BY
        city.population DESC */ select
            c2_0.`Name`,
            c1_0.`Name`,
            c2_0.`Population` 
        from
            country c1_0 
        join
            city c2_0 
                on c2_0.`ID`=c1_0.`Capital` 
        order by
            c2_0.`Population` desc
Capital City                   Country                             Population
Saint-Denis                    Réunion                                131,480
Yamoussoukro                   Côte d’Ivoire                          130,000
Bern                           Switzerland                            122,700
Paramaribo                     Suriname                               112,000
Reykjavík                      Iceland                                109,184
Kingston                       Jamaica                                103,962
Praia                          Cape Verde                              94,800
Fort-de-France                 Martinique                              94,050
Luxembourg [Luxemburg/Lëtzebuerg] Luxembourg                              80,700
Suva                           Fiji Islands                            77,366
Nouméa                         New Caledonia                           76,293
Male                           Maldives                                71,000
Mbabane                        Swaziland                               61,000
Masqat                         Oman                                    51,969
Cayenne                        French Guiana                           50,699
Honiara                        Solomon Islands                         50,100
São Tomé                       Sao Tome and Principe                   49,541
Dili                           East Timor                              47,900
Port-of-Spain                  Trinidad and Tobago                     43,396
Banjul                         Gambia                                  42,326
Victoria                       Seychelles                              41,000
Malabo                         Equatorial Guinea                       40,000
Moroni                         Comoros                                 36,000
Apia                           Samoa                                   35,900
Port-Vila                      Vanuatu                                 33,700
Oranjestad                     Aruba                                   29,034
Kuwait                         Kuwait                                  28,859
Dalap-Uliga-Darrit             Marshall Islands                        28,000
Gibraltar                      Gibraltar                               27,025
Papeete                        French Polynesia                        25,553
Saint John´s                   Antigua and Barbuda                     24,000
Nuku´alofa                     Tonga                                   22,400
Thimphu                        Bhutan                                  22,000
Bandar Seri Begawan            Brunei                                  21,484
Andorra la Vella               Andorra                                 21,189
George Town                    Cayman Islands                          19,600
Kingstown                      Saint Vincent and the Grenadines          17,100
Roseau                         Dominica                                16,243
Tórshavn                       Faroe Islands                           14,542
Nuuk                           Greenland                               13,445
Charlotte Amalie               Virgin Islands, U.S.                    13,000
Basse-Terre                    Guadeloupe                              12,433
Mamoutzou                      Mayotte                                 12,000
Koror                          Palau                                   12,000
Avarua                         Cook Islands                            11,900
Basseterre                     Saint Kitts and Nevis                   11,600
Garapan                        Northern Mariana Islands                 9,200
Palikir                        Micronesia, Federated States of           8,600
Road Town                      Virgin Islands, British                  8,000
Belmopan                       Belize                                   7,105
Valletta                       Malta                                    7,073
Bridgetown                     Barbados                                 6,070
Saint-Pierre                   Saint Pierre and Miquelon                5,808
Vaduz                          Liechtenstein                            5,043
Cockburn Town                  Turks and Caicos Islands                 4,800
Saint George´s                 Grenada                                  4,621
Funafuti                       Tuvalu                                   4,600
Willemstad                     Netherlands Antilles                     2,345
Fagatogo                       American Samoa                           2,323
Castries                       Saint Lucia                              2,301
San Marino                     San Marino                               2,294
Bairiki                        Kiribati                                 2,226
Plymouth                       Montserrat                               2,000
Stanley                        Falkland Islands                         1,636
Jamestown                      Saint Helena                             1,500
Longyearbyen                   Svalbard and Jan Mayen                   1,438
Monaco-Ville                   Monaco                                   1,234
Hamilton                       Bermuda                                  1,200
Agaña                          Guam                                     1,139
Mata-Utu                       Wallis and Futuna                        1,137
Kingston                       Norfolk Island                             800
Flying Fish Cove               Christmas Island                           700
Alofi                          Niue                                       682
The Valley                     Anguilla                                   595
Yaren                          Nauru                                      559
Città del Vaticano             Holy See (Vatican City State)              455
Fakaofo                        Tokelau                                    300
West Island                    Cocos (Keeling) Islands                    167
Adamstown                      Pitcairn                                    42
