Report generated on: 2025-11-17 17:17:39


USE CASE 9: All cities in region Eastern Asia
Hibernate: 
    /* SELECT
        c 
    FROM
        City c,
        Country co 
    WHERE
        c.countryCode = co.code 
        AND co.region = :region 
    ORDER BY
        c.population DESC */ select
            c1_0.`ID`,
            c1_0.`CountryCode`,
            c1_0.`District`,
            c1_0.`Name`,
            c1_0.`Population` 
        from
            city c1_0,
            country c2_0 
        where
            c1_0.`CountryCode`=c2_0.`Code` 
            and c2_0.`Region`=? 
        order by
            c1_0.`Population` desc
Name                           Country         District                  Population
Kuytun                         CHN             Xinxiang                     118,553
Kiryu                          JPN             Gumma                        118,326
Okinawa                        JPN             Okinawa                      117,748
Puqi                           CHN             Hubei                        117,264
Yaizu                          JPN             Shizuoka                     117,258
Hongjiang                      CHN             Hunan                        116,188
Taliao                         TWN                                          115,897
Hanam                          KOR             Kyonggi                      115,812
Toyokawa                       JPN             Aichi                        115,781
Ebina                          JPN             Kanagawa                     115,571
Kimje                          KOR             Chollabuk                    115,427
Asaka                          JPN             Saitama                      114,815
Qinzhou                        CHN             Guangxi                      114,586
Renqiu                         CHN             Hebei                        114,256
Yuyao                          CHN             Zhejiang                     114,065
Guigang                        CHN             Guangxi                      114,025
Kaili                          CHN             Guizhou                      113,958
Yongchon                       KOR             Kyongsangbuk                 113,511
Sachon                         KOR             Kyongsangnam                 113,494
Yan´an                         CHN             Shaanxi                      113,277
Beihai                         CHN             Guangxi                      112,673
Xuangzhou                      CHN             Anhui                        112,673
Quzhou                         CHN             Zhejiang                     112,373
Kueishan                       TWN                                          112,195
Tanshui                        TWN             Taipei                       111,882
Yong´an                        CHN             Fujian                       111,762
Higashikurume                  JPN             Tokyo-to                     111,666
Ikoma                          JPN             Nara                         111,645
Kitami                         JPN             Hokkaido                     111,295
Taitung                        TWN             Taitung                      111,039
Koganei                        JPN             Tokyo-to                     110,969
Zixing                         CHN             Hunan                        110,048
Iwatsuki                       JPN             Saitama                      110,034
Mishima                        JPN             Shizuoka                     109,699
Liyang                         CHN             Jiangsu                      109,520
Yizheng                        CHN             Jiangsu                      109,268
Yumen                          CHN             Gansu                        109,234
Uiwang                         KOR             Kyonggi                      108,788
Handa                          JPN             Aichi                        108,600
Liling                         CHN             Hunan                        108,504
Hualien                        TWN             Hualien                      108,407
Yuncheng                       CHN             Shanxi                       108,359
Muroran                        JPN             Hokkaido                     108,275
Komatsu                        JPN             Ishikawa                     107,937
Shanwei                        CHN             Guangdong                    107,847
Naju                           KOR             Chollanam                    107,831
Yatsushiro                     JPN             Kumamoto                     107,661
Iida                           JPN             Nagano                       107,583
Cixi                           CHN             Zhejiang                     107,329
Tokuyama                       JPN             Yamaguchi                    107,078
Yuanjiang                      CHN             Hunan                        107,004
Kokubunji                      JPN             Tokyo-to                     106,996
Akishima                       JPN             Tokyo-to                     106,914
Iwakuni                        JPN             Yamaguchi                    106,647
Bozhou                         CHN             Anhui                        106,346
Kusatsu                        JPN             Shiga                        106,232
Kuwana                         JPN             Mie                          106,121
Sanda                          JPN             Hyogo                        105,643
Hikone                         JPN             Shiga                        105,508
Jinchang                       CHN             Gansu                        105,287
Fu´an                          CHN             Fujian                       105,265
Suqian                         CHN             Jiangsu                      105,021
Nantou                         TWN             Nantou                       104,723
Shishou                        CHN             Hubei                        104,571
Hengshui                       CHN             Hebei                        104,269
Toda                           JPN             Saitama                      103,969
Namwon                         KOR             Chollabuk                    103,544
Danjiangkou                    CHN             Hubei                        103,211
Tajimi                         JPN             Gifu                         103,171
Fujin                          CHN             Heilongjiang                 103,104
Lungtan                        TWN             Taipei                       103,088
Sanya                          CHN             Hainan                       102,820
Guangshui                      CHN             Hubei                        102,770
Ikeda                          JPN             Osaka                        102,710
Huangshan                      CHN             Anhui                        102,628
Xingcheng                      CHN             Liaoning                     102,384
Fukaya                         JPN             Saitama                      102,156
Zhucheng                       CHN             Shandong                     102,134
Kunshan                        CHN             Jiangsu                      102,052
Ise                            JPN             Mie                          101,732
Sakata                         JPN             Yamagata                     101,651
Kasuga                         JPN             Fukuoka                      101,344
Kamagaya                       JPN             Chiba                        100,821
Tsuruoka                       JPN             Yamagata                     100,713
Haining                        CHN             Zhejiang                     100,478
Hoya                           JPN             Tokyo-to                     100,313
Nishio                         JPN             Chiba                        100,032
Tokai                          JPN             Aichi                         99,738
Pingliang                      CHN             Gansu                         99,265
Fuqing                         CHN             Fujian                        99,193
Touliu                         TWN             Yünlin                        98,900
Inazawa                        JPN             Aichi                         98,746
Xinzhou                        CHN             Shanxi                        98,667
Jieyang                        CHN             Guangdong                     98,531
Sakado                         JPN             Saitama                       98,221
Isehara                        JPN             Kanagawa                      98,123
Zhangjiagang                   CHN             Jiangsu                       97,994
Takasago                       JPN             Hyogo                         97,632
Tong Xian                      CHN             Peking                        97,168
Fujimi                         JPN             Saitama                       96,972
Tsaotun                        TWN             Nantou                        96,800
Urasoe                         JPN             Okinawa                       96,002
Ya´an                          CHN             Sichuan                       95,900
Jinzhou                        CHN             Liaoning                      95,761
Yonezawa                       JPN             Yamagata                      95,592
Konan                          JPN             Aichi                         95,521
Tonghae                        KOR             Kang-won                      95,472
Yamatokoriyama                 JPN             Nara                          95,165
Maizuru                        JPN             Kyoto                         94,784
Emeishan                       CHN             Sichuan                       94,000
Onomichi                       JPN             Hiroshima                     93,756
Higashimatsuyama               JPN             Saitama                       93,342
Kimitsu                        JPN             Chiba                         93,216
Isahaya                        JPN             Nagasaki                      93,058
Enshi                          CHN             Hubei                         93,056
Kanuma                         JPN             Tochigi                       93,053
Bose                           CHN             Guangxi                       93,009
Yuzhou                         CHN             Henan                         92,889
Izumisano                      JPN             Osaka                         92,583
Kameoka                        JPN             Kyoto                         92,398
Mun-gyong                      KOR             Kyongsangbuk                  92,239
Kangshan                       TWN             Kaohsiung                     92,200
Ilan                           TWN             Ilan                          92,000
Kaiyuan                        CHN             Yunnan                        91,999
Mobara                         JPN             Chiba                         91,664
Tumen                          CHN             Jilin                         91,471
Narita                         JPN             Chiba                         91,470
Kashiwazaki                    JPN             Niigata                       91,229
Tsuyama                        JPN             Okayama                       91,170
Putian                         CHN             Fujian                        91,030
Linhai                         CHN             Zhejiang                      90,870
Xilin Hot                      CHN             Inner Mongolia                90,646
Shaowu                         CHN             Fujian                        90,286
Junan                          CHN             Shandong                      90,222
Miaoli                         TWN             Miaoli                        90,000
Huaying                        CHN             Sichuan                       89,400
Pingyi                         CHN             Shandong                      89,373
Huangyan                       CHN             Zhejiang                      89,288
